source_id,iso3_country,original_inventory_sector,start_time,end_time,temporal_granularity,gas,emissions_quantity,emissions_factor,emissions_factor_units,capacity,capacity_units,capacity_factor,activity,activity_units,created_date,modified_date,source_name,source_type,lat,lon,other1,other2,other3,other1_def,other2_def,other3_def,geometry_ref
3172049,BRA,domestic-aviation,2019-01-01 00:00:00,2019-12-31 00:00:00,annual,co2,,,T of CO2 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:39.525909,Tapuruquara Airport,domestic,-0.3786,-64.9923,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-64.9923_-0.3786
3172157,BRA,domestic-aviation,2016-01-01 00:00:00,2016-12-31 00:00:00,annual,co2e_100yr,,,,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:30.981831,Jericoacoara - Comandante Ariston Pessoa Regional Airport,domestic,-2.906425,-40.357338,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-40.357338_-2.906425
3172157,BRA,domestic-aviation,2016-01-01 00:00:00,2016-12-31 00:00:00,annual,n2o,,,T of N2O per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:30.981831,Jericoacoara - Comandante Ariston Pessoa Regional Airport,domestic,-2.906425,-40.357338,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-40.357338_-2.906425
3172157,BRA,domestic-aviation,2015-01-01 00:00:00,2015-12-31 00:00:00,annual,ch4,,,T of CH4 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:30.981831,Jericoacoara - Comandante Ariston Pessoa Regional Airport,domestic,-2.906425,-40.357338,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-40.357338_-2.906425
3172049,BRA,domestic-aviation,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2,,,T of CO2 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:39.525909,Tapuruquara Airport,domestic,-0.3786,-64.9923,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-64.9923_-0.3786
3172157,BRA,domestic-aviation,2016-01-01 00:00:00,2016-12-31 00:00:00,annual,ch4,,,T of CH4 per T of fuel burned,,flights,,,T of fuel,2023-09-15 00:00:00,2024-02-29 20:57:30.981831,Jericoacoara - Comandante Ariston Pessoa Regional Airport,domestic,-2.906425,-40.357338,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-40.357338_-2.906425
3172157,BRA,domestic-aviation,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,ch4,0.2090681032952327,2.21499999999998e-05,T of CH4 per T of fuel burned,3498,flights,,9438.740555089598,T of fuel,2024-02-27 00:00:00,2024-02-27 18:51:00.861377,Jericoacoara - Comandante Ariston Pessoa Regional Airport,domestic,-2.906425,-40.357338,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-40.357338_-2.906425
3172157,BRA,domestic-aviation,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,co2,29826.42015408313,3.16,T of CO2 per T of fuel burned,3498,flights,,9438.740555089598,T of fuel,2024-02-27 00:00:00,2024-02-27 18:51:00.861377,Jericoacoara - Comandante Ariston Pessoa Regional Airport,domestic,-2.906425,-40.357338,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-40.357338_-2.906425
3172157,BRA,domestic-aviation,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,0.10012586457683224,2.2149999999999725e-05,T of CH4 per T of fuel burned,1534,flights,,4520.355059902189,T of fuel,2023-09-15 00:00:00,2024-02-27 18:51:00.861377,Jericoacoara - Comandante Ariston Pessoa Regional Airport,domestic,-2.906425,-40.357338,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-40.357338_-2.906425
3172157,BRA,domestic-aviation,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,n2o,0.14053323611371846,8.859999999999966e-05,T of N2O per T of fuel burned,727,flights,,1586.1539064753838,T of fuel,2023-09-15 00:00:00,2024-02-27 18:51:00.861377,Jericoacoara - Comandante Ariston Pessoa Regional Airport,domestic,-2.906425,-40.357338,,,,departure_airport_code,arrival_airport_name,arrival_airport_code,trace_-40.357338_-2.906425
